Description,Quantity,Revenue,Orders
DAIRY MAID TOASTRACK,756,690.12,83
DAIRY MAID TRADITIONAL TEAPOT ,179,1230.05,86
DAISIES  HONEYCOMB GARLAND ,419,691.3499999999999,51
DAISY FOLKART HEART DECORATION,96,120.0,16
DAISY GARDEN MARKER,1078,1513.1,54
DAISY HAIR BAND,46,75.89999999999999,6
DAISY HAIR COMB,6,15.299999999999999,1
DAISY JOURNAL ,66,173.11999999999998,26
DAISY NOTEBOOK ,64,105.6,20
DAISY SKETCHBOOK ,71,189.96,25
DANISH ROSE BEDSIDE CABINET,13,519.35,10
DANISH ROSE DECORATIVE PLATE,951,710.64,55
DANISH ROSE DELUXE COASTER,947,417.34999999999997,40
DANISH ROSE FOLDING CHAIR,112,890.4000000000001,25
DANISH ROSE PHOTO FRAME,1424,1461.6,99
DANISH ROSE ROUND SEWING BOX,811,951.79,62
DANISH ROSE TRINKET TRAYS,261,484.63,31
DANISH ROSE UMBRELLA STAND,2,31.9,2
DARK BIRD HOUSE TREE DECORATION,1251,377.90999999999997,66
DECORATION  BUTTERFLY  MAGIC GARDEN,449,377.49,57
DECORATION  PINK CHICK MAGIC GARDEN,383,321.39,44
"DECORATION , WOBBLY CHICKEN, METAL ",229,377.84999999999997,28
"DECORATION , WOBBLY RABBIT , METAL ",298,491.69999999999993,34
"DECORATION HEN ON NEST, HANGING",39,64.35,3
DECORATION SITTING BUNNY,1335,257.61,41
DECORATION WHITE CHICK MAGIC GARDEN,645,544.09,75
DECORATION WOBBLY CHICKEN,521,256.11,29
DECORATION WOBBLY RABBIT METAL ,753,375.57,45
DECORATIVE CATS BATHROOM BOTTLE,835,647.03,52
DECORATIVE FLORE BATHROOM BOTTLE,283,313.91,41
DECORATIVE HANGING SHELVING UNIT,6,359.70000000000005,5
DECORATIVE PLANT POT WITH FRIEZE,70,544.5,25
DECORATIVE ROSE BATHROOM BOTTLE,920,693.52,59
DECORATIVE VINTAGE COFFEE  BOX,47,223.05,16
DECORATIVE WICKER HEART LARGE,1712,2812.7999999999997,215
DECORATIVE WICKER HEART MEDIUM,1761,2193.69,195
DECORATIVE WICKER HEART SMALL,1492,932.2800000000001,81
"DECOUPAGE,GREETING CARD,",336,141.12,23
DECROTIVEVINTAGE COFFEE GRINDER BOX,10,49.5,4
DELUXE SEWING KIT ,1058,5974.62,222
DENIM PATCH PURSE PINK BUTTERFLY,140,231.0,27
DIAMANTE BOW BROOCH BLACK COLOUR,8,50.8,4
DIAMANTE BOW BROOCH GREEN COLOUR,21,133.35,10
DIAMANTE BOW BROOCH RED COLOUR,27,171.45,10
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,9,14.85,3
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,6,9.899999999999999,1
DIAMANTE HAIR GRIP PACK/2 LT ROSE,9,14.85,3
DIAMANTE HAIR GRIP PACK/2 MONTANA,8,13.2,3
DIAMANTE HAIR GRIP PACK/2 PERIDOT,6,9.899999999999999,1
DIAMANTE HAIR GRIP PACK/2 RUBY,10,16.499999999999996,3
"DIAMANTE HEART SHAPED WALL MIRROR, ",267,1490.65,38
DIAMANTE NECKLACE,2,15.0,1
DIAMANTE NECKLACE BLACK ,2,15.0,1
DIAMANTE NECKLACE GREEN,3,22.5,2
DIAMANTE NECKLACE PURPLE,7,52.5,4
DIAMANTE RING ASSORTED IN BOX.,1008,1311.3600000000001,22
DIAMOND LAS VEGAS NECKLACE 45CM,5,29.75,3
DINOSAUR HEIGHT CHART STICKER SET,165,486.75000000000006,35
DINOSAUR KEYRINGS ASSORTED,6462,1332.9299999999998,131
DINOSAUR LUNCH BOX WITH CUTLERY,1227,2868.7799999999997,167
DINOSAUR PARTY BAG + STICKER SET,684,1101.44,91
DINOSAURS  WRITING SET ,589,980.0499999999998,168
DISCO BALL CHRISTMAS DECORATION,12714,1408.56,181
DISCO BALL ROTATOR BATTERY OPERATED,244,1034.0,102
DO NOT TOUCH MY STUFF DOOR HANGER ,1176,603.86,110
DOCTOR'S BAG SOFT TOY,174,1640.1799999999998,66
DOG AND BALL WALL ART,252,425.87999999999994,4
DOG BOWL CHASING BALL DESIGN,1341,5227.929999999999,114
DOG BOWL VINTAGE CREAM,354,1507.92,108
DOG LICENCE WALL ART,408,2081.64,29
DOG TOY WITH PINK CROCHET SKIRT,166,623.26,70
DOGGY RUBBER,193,40.53,29
DOILEY BISCUIT TIN,120,327.6,13
DOILEY STORAGE TIN,1082,2934.98,112
DOILY THANK YOU CARD,727,296.7,44
DOLLCRAFT BOY JEAN-PAUL ,82,373.9,12
DOLLCRAFT GIRL AMELIE,36,178.2,8
DOLLCRAFT GIRL AMELIE KIT,66,294.7,8
DOLLCRAFT GIRL NICOLE,68,336.6,12
DOLLY CABINET 2 DRAWERS ,33,412.5,19
DOLLY CABINET 3 DRAWERS ,51,762.4499999999999,30
DOLLY GIRL BABY GIFT SET,421,6567.95,120
DOLLY GIRL CHILDRENS BOWL,1553,1854.8500000000001,141
DOLLY GIRL CHILDRENS CUP,1549,1881.39,144
DOLLY GIRL CHILDRENS EGG CUP,905,1132.46,111
DOLLY GIRL LUNCH BOX,11336,20129.44,616
DOLLY GIRL MINI BACKPACK,717,2855.55,144
DOLLY GIRL MINI RUCKSACK,8,33.2,2
DOLLY GIRL WALL ART,318,1055.94,11
DOLLY HONEYCOMB GARLAND,449,404.85,20
DOLLY MIXTURE CHILDREN'S UMBRELLA,255,832.13,64
DOLPHIN WINDMILL,1,2.12,1
DONKEY TAIL GAME ,54,189.54000000000002,4
DOOR HANGER  MUM + DADS ROOM,187,271.15,52
DOORKNOB CERAMIC IVORY,36,52.199999999999996,1
DOORKNOB CRACKED GLAZE BLUE,162,238.49999999999997,3
DOORKNOB CRACKED GLAZE GREEN,12,19.799999999999997,2
DOORKNOB CRACKED GLAZE IVORY,180,268.2,5
DOORKNOB CRACKED GLAZE PINK,12,19.799999999999997,2
DOORMAT 3 SMILEY CATS,1107,6715.25,174
DOORMAT AIRMAIL ,722,4887.82,156
DOORMAT BLACK FLOCK ,1787,9822.2,173
DOORMAT CHRISTMAS VILLAGE,568,2991.7,35
DOORMAT ENGLISH ROSE ,1975,13470.95,356
DOORMAT FAIRY CAKE,3429,21187.69,241
DOORMAT FANCY FONT HOME SWEET HOME,3088,19157.02,397
DOORMAT HEARTS,3271,19948.81,480
DOORMAT HOME SWEET HOME BLUE ,1597,9635.89,261
DOORMAT I LOVE LONDON,327,2157.33,69
DOORMAT KEEP CALM AND COME IN,5342,35913.85,648
DOORMAT MERRY CHRISTMAS RED ,614,4340.44,112
DOORMAT MULTICOLOUR STRIPE,1419,8053.22,141
DOORMAT NEIGHBOURHOOD WITCH ,253,1645.67,70
DOORMAT NEW ENGLAND,3721,22968.25,531
DOORMAT PEACE ON EARTH BLUE,700,3442.04,27
DOORMAT RED RETROSPOT,3901,25397.85,576
DOORMAT RESPECTABLE HOUSE,730,4873.44,126
DOORMAT SPOTTY HOME SWEET HOME,1662,12095.67,405
DOORMAT TOPIARY,880,5644.46,182
DOORMAT UNION FLAG,3625,23697.99,516
DOORMAT UNION JACK GUNS AND ROSES,1159,6635.61,155
DOORMAT VINTAGE LEAF,541,3766.57,121
DOORMAT VINTAGE LEAVES DESIGN ,426,2833.7000000000003,88
DOORMAT WELCOME PUPPIES,2028,11544.2,252
DOORMAT WELCOME SUNRISE,344,2268.64,95
DOORMAT WELCOME TO OUR HOME,1378,9468.08,338
DOORSTOP FOOTBALL DESIGN,135,408.73,51
DOORSTOP RACING CAR DESIGN,118,236.0,32
DOORSTOP RETROSPOT HEART,1516,5938.21,236
DOTCOM POSTAGE,16,11906.36,16
DOTCOMGIFTSHOP TEA TOWEL,12,19.799999999999997,1
DOUBLE CERAMIC PARLOUR HOOK,22,91.30000000000001,5
DOUGHNUT LIP GLOSS ,9662,11640.7,308
DOVE DECORATION PAINTED ZINC ,2283,668.09,49
DRAGONS BLOOD INCENSE,349,73.29,13
DRAWER KNOB CERAMIC BLACK,947,1332.35,78
DRAWER KNOB CERAMIC IVORY,2053,2889.49,165
DRAWER KNOB CERAMIC RED,685,952.4499999999999,59
DRAWER KNOB CRACKLE GLAZE BLUE,1085,1761.6899999999998,111
DRAWER KNOB CRACKLE GLAZE GREEN,1272,2060.3999999999996,136
DRAWER KNOB CRACKLE GLAZE IVORY,2084,3361.7999999999997,177
DRAWER KNOB CRACKLE GLAZE PINK,1234,1997.6999999999998,136
DRAWER KNOB VINTAGE GLASS BALL,317,669.61,46
DRAWER KNOB VINTAGE GLASS HEXAGON,287,596.96,27
DRAWER KNOB VINTAGE GLASS STAR,504,1019.0500000000001,53
DROP DIAMANTE EARRINGS BLACK DIAMON,7,20.650000000000002,2
DROP DIAMANTE EARRINGS CRYSTAL,13,38.35000000000001,3
DROP DIAMANTE EARRINGS GREEN,6,17.700000000000003,1
DROP DIAMANTE EARRINGS PURPLE,17,50.150000000000006,6
DROP EARRINGS W FLOWER & LEAF,3,7.6499999999999995,2
DUSTY PINK CHRISTMAS TREE 30CM,1,1.25,1
DUSTY PINK CHRISTMAS TREE 60CM,9,26.550000000000004,2
EASTER BUNNY GARLAND OF FLOWERS,525,220.5,37
EASTER BUNNY HANGING GARLAND,54,67.5,11
EASTER BUNNY WITH BASKET ON BACK,105,68.25,18
EASTER BUNNY WREATH,28,138.6,10
EASTER CRAFT 4 CHICKS ,1819,3367.0499999999997,159
EASTER CRAFT IVY WREATH WITH CHICK,1,1.95,1
EASTER DECORATION EGG BUNNY ,828,654.7,75
EASTER DECORATION HANGING BUNNY,1861,563.35,78
EASTER DECORATION NATURAL CHICK,514,334.1,48
EASTER DECORATION SITTING BUNNY,503,408.83,54
EASTER TIN BUCKET,405,931.95,38
EASTER TIN BUNNY BOUQUET,1150,1832.6999999999998,127
EASTER TIN CHICKS IN GARDEN,292,481.79999999999995,38
EASTER TIN CHICKS PINK DAISY,567,935.55,85
EASTER TIN KEEPSAKE,1081,1718.85,110
EASTER TREE YELLOW BIRDS,109,648.5500000000001,43
EAU DE NIL LOVE BIRD CANDLE,336,353.72,21
EAU DE NILE HEART SHAPE PHOTO FRAME,305,474.44999999999993,21
EAU DE NILE JEWELLED PHOTOFRAME,297,522.4499999999999,21
EAU DE NILE JEWELLED T-LIGHT HOLDER,75,63.75,9
ECONOMY HOLIDAY PURSE,4,11.8,4
ECONOMY LUGGAGE TAG,95,140.81,29
EDWARDIAN DROP EARRINGS JET BLACK,8,30.0,4
EDWARDIAN HEART PHOTO FRAME,147,610.0500000000001,33
EDWARDIAN PARASOL BLACK,2779,15218.67,291
EDWARDIAN PARASOL NATURAL,3826,20696.71,378
EDWARDIAN PARASOL PINK,769,4254.16,135
EDWARDIAN PARASOL RED,1630,9055.87,270
EDWARDIAN PHOTO FRAME,89,556.25,31
EGG CUP HENRIETTA HEN CREAM ,580,664.52,28
EGG CUP HENRIETTA HEN PINK,187,233.75,18
EGG CUP MILKMAID HEIDI,786,922.02,46
EGG CUP MILKMAID HELGA ,348,435.0,31
EGG CUP MILKMAID INGRID,587,703.51,42
EGG CUP NATURAL CHICKEN,841,521.73,87
EGG FRYING PAN BLUE ,150,312.0,58
EGG FRYING PAN IVORY ,359,724.6400000000001,81
EGG FRYING PAN MINT ,169,351.52000000000004,60
EGG FRYING PAN PINK ,200,418.05,63
EGG FRYING PAN RED ,405,820.32,91
EIGHT PIECE CREEPY CRAWLIE SET,6,7.5,3
EIGHT PIECE DINOSAUR SET,93,116.25,18
EIGHT PIECE SNAKE  SET,314,392.5,68
ELEPHANT BIRTHDAY CARD ,1092,454.92,72
ELEPHANT CARNIVAL POUFFE,38,568.0999999999999,24
ELEPHANT CLIP W SUCTION CUP,16,6.72,4
"ELEPHANT, BIRTHDAY CARD, ",2114,859.08,126
ELVIS WALLHANGING / CURTAIN,48,60.0,6
EMBOSSED GLASS TEALIGHT HOLDER,2381,2871.84,162
EMBOSSED HEART TRINKET BOX,225,452.34000000000003,35
EMBROIDERED RIBBON REEL CLAIRE,219,755.01,19
EMBROIDERED RIBBON REEL DAISY ,558,1075.3799999999999,59
EMBROIDERED RIBBON REEL EMILY ,526,1050.58,85
EMBROIDERED RIBBON REEL RACHEL ,358,957.82,41
EMBROIDERED RIBBON REEL REBECCA ,312,860.88,51
EMBROIDERED RIBBON REEL ROSIE,485,923.54,49
EMBROIDERED RIBBON REEL RUBY ,166,589.38,30
EMBROIDERED RIBBON REEL SALLY ,458,909.14,62
EMBROIDERED RIBBON REEL SOPHIE  ,292,1028.76,40
EMBROIDERED RIBBON REEL SUSIE ,556,1072.96,62
EMERGENCY FIRST AID TIN ,890,1102.64,119
EMPIRE BIRTHDAY CARD,1143,481.29,84
EMPIRE DESIGN ROSETTE,4236,3596.4199999999996,26
EMPIRE GIFT WRAP,3400,1384.0,105
EMPIRE TISSUE BOX,1945,922.7900000000001,130
EMPIRE UNION JACK TV DINNER TRAY,811,2150.77,78
ENAMEL BLUE RIM BISCUIT BIN,89,413.95000000000005,30
ENAMEL BLUE RIM COFFEE CONTAINER,147,155.03,21
ENAMEL BLUE RIM TEA CONTAINER,8,9.18,3
ENAMEL BOWL PANTRY,24,30.0,2
ENAMEL BREAD BIN CREAM,713,8519.0,326
ENAMEL COLANDER CREAM,434,2086.11,141
ENAMEL DINNER PLATE PANTRY,12,19.799999999999997,1
ENAMEL FIRE BUCKET CREAM,221,1528.73,92
ENAMEL FLOWER JUG CREAM,1995,11444.93,441
ENAMEL JUG PANTRY,8,30.0,2
ENAMEL MEASURING JUG CREAM,1193,4954.29,315
ENAMEL MUG PANTRY,12,15.0,1
ENAMEL PINK COFFEE CONTAINER,603,546.2099999999999,52
ENAMEL PINK TEA CONTAINER,389,374.94,40
ENAMEL WASH BOWL CREAM,660,2231.8,144
ENAMEL WATERING CAN CREAM,544,2646.6,161
ENCHANTED BIRD COATHANGER 5 HOOK,775,3475.19,190
ENCHANTED BIRD PLANT CAGE,181,599.5500000000001,43
ENGLISH ROSE GARDEN SECATEURS,1958,1826.78,174
ENGLISH ROSE HOT WATER BOTTLE,1423,5767.91,277
ENGLISH ROSE METAL WASTE BIN,20,59.0,11
ENGLISH ROSE NOTEBOOK A6 SIZE,398,185.1,20
ENGLISH ROSE NOTEBOOK A7 SIZE,2729,1147.0,221
ENGLISH ROSE SCENTED HANGING FLOWER,423,366.25,50
ENGLISH ROSE SCENTED HANGING HEART,4,17.0,2
ENGLISH ROSE SMALL SCENTED FLOWER,198,168.29999999999998,27
ENGLISH ROSE SPIRIT LEVEL ,948,860.88,92
ENVELOPE 50 BLOSSOM IMAGES,947,491.55,74
ENVELOPE 50 CURIOUS IMAGES,50,27.02,10
ENVELOPE 50 ROMANTIC IMAGES,6,5.1,2
ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5856,383.76,17
ETCHED GLASS COASTER,1536,722.88,58
EUCALYPTUS & PINECONE  WREATH,311,1118.65,37
FAIRY CAKE BIRTHDAY CANDLE SET,428,1547.4,84
FAIRY CAKE DESIGN UMBRELLA,411,1482.87,95
FAIRY CAKE FLANNEL ASSORTED COLOUR,10082,17304.57,192
FAIRY CAKE NOTEBOOK A5 SIZE,46,39.1,5
FAIRY CAKES NOTEBOOK A6 SIZE,1272,762.99,108
FAIRY CAKES NOTEBOOK A7 SIZE,1684,655.34,99
FAIRY DREAMS INCENSE ,1025,212.75,32
FAIRY SOAP SOAP HOLDER,232,392.08,57
FAIRY TALE COTTAGE NIGHT LIGHT,913,1719.1499999999999,81
FAIRY TALE COTTAGE NIGHTLIGHT,2016,3352.7999999999997,69
FAMILY ALBUM WHITE PICTURE FRAME,1075,8416.64,286
FAMILY PHOTO FRAME CORNICE,837,7646.839999999999,233
FAN BLACK FRAME ,143,41.47,12
"FANCY FONT BIRTHDAY CARD, ",4740,1910.8799999999999,250
FANCY FONTS BIRTHDAY WRAP,8600,3430.0,230
FANNY'S REST STOPMETAL SIGN,421,879.1800000000001,85
FAUX FUR CHOCOLATE THROW,66,1055.7,34
FAWN AND MUSHROOM GREETING CARD,108,45.36,8
FAWN BLUE HOT WATER BOTTLE,2925,9218.550000000001,379
"FEATHER PEN,COAL BLACK",2462,1180.26,110
"FEATHER PEN,HOT PINK",3621,1777.61,157
"FEATHER PEN,LIGHT PINK",1936,951.54,105
FELT EGG COSY BLUE RABBIT ,410,351.62,47
FELT EGG COSY CHICKEN,924,788.52,90
FELT EGG COSY LADYBIRD ,256,125.68,18
FELT EGG COSY WHITE RABBIT ,520,447.46,70
FELT FARM ANIMAL CHICKEN,262,327.5,33
FELT FARM ANIMAL HEN,384,240.96,16
FELT FARM ANIMAL RABBIT,722,543.9399999999999,36
FELT FARM ANIMAL SHEEP,283,194.39,16
FELT FARM ANIMAL WHITE BUNNY ,1393,518.77,40
FELT TOADSTOOL  SMALL,542,460.7,44
FELT TOADSTOOL LARGE,594,706.02,41
FELTCRAFT 6 FLOWER FRIENDS,5890,11566.390000000001,461
FELTCRAFT BOY JEAN-PAUL KIT,354,1735.98,117
FELTCRAFT BUTTERFLY HEARTS,6127,8314.55,436
FELTCRAFT CHRISTMAS FAIRY,1896,7722.68,302
FELTCRAFT CUSHION BUTTERFLY,2698,9655.48,294
FELTCRAFT CUSHION OWL,3284,11783.05,417
FELTCRAFT CUSHION RABBIT,3018,10694.81,324
FELTCRAFT DOLL EMILY,1301,3732.15,231
FELTCRAFT DOLL MARIA,194,553.1,46
FELTCRAFT DOLL MOLLY,4469,11762.99,293
FELTCRAFT DOLL ROSIE,1653,4716.870000000001,256
FELTCRAFT GIRL AMELIE KIT,987,4824.13,255
FELTCRAFT GIRL NICOLE KIT,646,3174.7400000000002,170
FELTCRAFT HAIRBAND PINK AND BLUE,796,676.5999999999999,117
FELTCRAFT HAIRBAND PINK AND PURPLE,834,721.38,118
FELTCRAFT HAIRBAND RED AND BLUE,845,718.25,120
FELTCRAFT HAIRBANDS PINK AND WHITE ,818,712.4599999999999,108
FELTCRAFT PRINCESS CHARLOTTE DOLL,2223,8071.51,401
FELTCRAFT PRINCESS LOLA DOLL,1964,7166.94,378
FELTCRAFT PRINCESS OLIVIA DOLL,1514,5446.1,251
FENG SHUI PILLAR CANDLE,3317,630.23,65
FILIGREE DIAMANTE EARRINGS,8,34.0,4
FILIGREE HEART BIRD WHITE ,1397,1726.3,78
FILIGREE HEART BUTTERFLY WHITE ,1592,1947.06,87
FILIGREE HEART DAISY WHITE,1199,1478.59,71
FILIGRIS HEART WITH BUTTERFLY,3781,4544.13,174
FINE SILVER NECKLACE W PASTEL FLOWE,13,63.75,3
FINE WICKER HEART ,2508,2984.52,179
FIRE POLISHED GLASS BRACELET BLACK,1,3.75,1
FIRE POLISHED GLASS BRACELET GREEN,14,52.5,2
FIRE POLISHED GLASS BRACELET MONTAN,6,22.5,1
FIRE POLISHED GLASS BRACELET RED,6,22.5,1
FIRE POLISHED GLASS NECKL BRONZE,3,17.85,3
FIRE POLISHED GLASS NECKL GOLD,1,5.95,1
FIRST AID TIN,1129,3530.35,148
FIRST CLASS HOLIDAY PURSE ,11,40.97,5
FIRST CLASS LUGGAGE TAG ,105,126.69,23
FIRST CLASS PASSPORT COVER ,66,137.74,26
FIVE CATS HANGING DECORATION,172,506.32000000000005,39
FIVE HEART HANGING DECORATION,396,1161.0000000000002,89
FLAG OF ST GEORGE ,23,37.95,7
FLAG OF ST GEORGE CAR FLAG,25,10.5,1
FLAG OF ST GEORGE CHAIR,37,179.35,7
FLAMES SUNGLASSES PINK LENSES,47,84.44999999999999,6
FLOOR CUSHION ELEPHANT CARNIVAL,54,461.3,22
FLOOR LAMP SHADE WOOD BASE,32,287.74,12
FLORAL BATHROOM SET,21,78.75,11
FLORAL BLUE MONSTER,5,21.25,4
FLORAL FOLK STATIONERY SET,1366,1934.8500000000001,205
FLORAL PINK MONSTER,36,135.0,10
FLORAL SOFT CAR TOY,32,120.0,10
FLOWER BLUE CLOCK WITH SUCKER,117,33.93,8
FLOWER BURST SILVER RING CRYSTAL,10,37.5,6
FLOWER FAIRY 5 DRAWER LINERS,60,153.0,20
FLOWER FAIRY 5 SUMMER DRAW LINERS,6,15.299999999999999,1
FLOWER FAIRY INCENSE BOUQUET,61,32.349999999999994,5
"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105,267.75,25
FLOWER GARLAND NECKLACE RED,6,47.7,4
"FLOWER GLASS GARLAND NECKL.36""BLACK",11,87.45,4
"FLOWER GLASS GARLAND NECKL.36""BLUE",6,47.7,2
"FLOWER GLASS GARLAND NECKL.36""GREEN",4,31.8,2
"FLOWER GLASS GARLD NECKL36""AMETHYST",7,55.650000000000006,5
"FLOWER GLASS GARLD NECKL36""TURQUOIS",4,31.8,1
FLOWER PURPLE CLOCK W/SUCKER,5,4.25,3
FLOWER PURPLE CLOCK WITH SUCKER,16,4.64,3
FLOWER SHOP DESIGN MUG,1,1.65,1
FLOWER VINE RAFFIA FOOD COVER,338,1278.63,114
FLOWERS  STICKERS,211,191.04999999999998,32
FLOWERS CHANDELIER T-LIGHT HOLDER,866,2789.66,36
FLOWERS HANDBAG blue and orange,49,61.25,3
FLOWERS TILE COASTER,990,329.84,37
FLOWERS TILE HOOK,57,71.82000000000001,11
FLUTED ANTIQUE CANDLE HOLDER,2313,1888.31,128
FLYING PIG WATERING CAN,187,429.25000000000006,40
FOLDING BUTTERFLY MIRROR HOT PINK ,1839,1427.99,128
FOLDING BUTTERFLY MIRROR IVORY ,735,597.78,100
FOLDING BUTTERFLY MIRROR RED  ,1252,961.28,89
FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996,3
FOLDING MIRROR HOT PINK ,156,118.91999999999999,5
FOLDING MIRROR IVORY ,18,14.939999999999998,2
FOLDING MIRROR RED  ,18,14.939999999999998,2
FOLDING SHOE TIDY,3,8.850000000000001,2
FOLDING UMBRELLA BLACKBLUE POLKADOT,120,601.22,47
FOLDING UMBRELLA CHOCOLATE POLKADOT,87,430.06,31
FOLDING UMBRELLA CREAM POLKADOT,139,682.45,32
FOLDING UMBRELLA PINKWHITE POLKADOT,84,412.41,31
FOLDING UMBRELLA RED/WHITE POLKADOT,229,1134.58,68
FOLDING UMBRELLA WHITE/RED POLKADOT,86,420.1,23
"FOLK ART GREETING CARD,pack/12",23,67.85000000000001,9
FOLK ART METAL HEART T-LIGHT HOLDER,145,52.760000000000005,18
FOLK ART METAL STAR T-LIGHT HOLDER,381,150.54000000000002,29
FOLK FELT HANGING MULTICOL GARLAND,28,105.0,8
FOLKART CHRISTMAS TREE T-LIGHT HOLD,27,10.260000000000002,2
FOLKART CLIP ON STARS,624,246.78,37
FOLKART HEART NAPKIN RINGS,181,181.87,28
FOLKART STAR CHRISTMAS DECORATIONS,3017,1282.4099999999999,85
FOLKART ZINC HEART CHRISTMAS DEC,2692,2138.44,153
FOLKART ZINC STAR CHRISTMAS DEC,12,10.2,3
FOOD CONTAINER SET 3 LOVE HEART ,1890,3370.42,180
"FOOD COVER WITH BEADS , SET 2 SIZES",3,11.25,1
FOOD COVER WITH BEADS SET 2 ,980,3556.42,121
FOOD/DRINK SPONGE STICKERS,1244,261.24,35
FOOT STOOL HOME SWEET HOME ,434,4069.9,176
FORKED CACTUS CANDLE,92,272.98,26
FOUR HOOK  WHITE LOVEBIRDS,1422,2917.4700000000003,253
FOUR RABBIT EASTER DECORATIONS,67,83.75,11
FRAPPUCINO SCARF KNITTING KIT,308,416.78000000000003,47
FREESTYLE CANVAS ART PICTURE,41,39.65,18
FRENCH BATHROOM SIGN BLUE METAL,1382,2227.62,158
FRENCH BLUE METAL DOOR SIGN 0,543,678.15,70
FRENCH BLUE METAL DOOR SIGN 1,1040,1303.64,138
FRENCH BLUE METAL DOOR SIGN 2,874,1092.51,113
FRENCH BLUE METAL DOOR SIGN 3,751,941.18,102
FRENCH BLUE METAL DOOR SIGN 4,647,810.57,91
FRENCH BLUE METAL DOOR SIGN 5,745,932.47,100
FRENCH BLUE METAL DOOR SIGN 6,627,785.57,81
FRENCH BLUE METAL DOOR SIGN 7,618,773.11,79
FRENCH BLUE METAL DOOR SIGN 8,575,720.57,80
FRENCH BLUE METAL DOOR SIGN 9,464,579.4,60
FRENCH BLUE METAL DOOR SIGN No,859,997.2,73
FRENCH CARRIAGE LANTERN,132,858.9000000000001,54
FRENCH CHATEAU LARGE FRUIT BOWL ,10,19.5,4
FRENCH CHATEAU LARGE PLATTER ,70,160.5,18
FRENCH CHATEAU OVAL PLATTER,15,29.25,6
FRENCH CHATEAU SMALL FRUITBOWL,24,51.599999999999994,8
FRENCH ENAMEL CANDLEHOLDER,1549,3104.32,233
FRENCH ENAMEL POT W LID,551,1233.3100000000002,87
FRENCH ENAMEL UTENSIL HOLDER,37,122.75,10
FRENCH ENAMEL WATER BASIN,290,771.21,79
FRENCH FLORAL CUSHION COVER ,605,541.75,52
FRENCH GARDEN SIGN BLUE METAL,772,960.58,110
FRENCH KITCHEN SIGN BLUE METAL,1176,1423.89,123
FRENCH LATTICE CUSHION COVER ,396,337.71999999999997,38
FRENCH LAUNDRY SIGN BLUE METAL,919,1465.31,103
FRENCH LAVENDER SCENT HEART,975,855.45,75
FRENCH PAISLEY CUSHION COVER,170,141.1,17
FRENCH PAISLEY CUSHION COVER ,452,411.84,49
FRENCH STYLE EMBOSSED HEART CABINET,23,485.9,20
FRENCH STYLE STORAGE JAR BONBONS,2338,695.06,74
FRENCH STYLE STORAGE JAR CAFE ,1982,819.4599999999999,70
FRENCH STYLE STORAGE JAR JAM,323,116.58999999999999,30
FRENCH TOILET SIGN BLUE METAL,1274,1536.71,144
FRENCH WC SIGN BLUE METAL,1754,2193.99,208
FRESHWATER PEARL BRACELET GOLD,3,7.6499999999999995,2
FRIDGE MAGNETS LA VIE EN ROSE,1188,978.5999999999999,74
FRIDGE MAGNETS LES ENFANTS ASSORTED,1281,1042.05,75
FRIDGE MAGNETS US DINER ASSORTED,1482,1226.3999999999999,88
FROG CANDLE,61,76.25,17
FROG KING WATERING CAN,9,26.55,2
FROG SOCK PUPPET,15,44.25000000000001,8
FROSTED WHITE BASE ,229,106.44999999999999,17
FRUIT SALAD BAG CHARM,16,27.04,3
FRUIT TREE AND BIRDS WALL PLAQUE,17,135.15,9
FRYING PAN BLUE POLKADOT,108,366.0,40
FRYING PAN PINK POLKADOT,326,1209.54,76
FRYING PAN RED POLKADOT ,1,4.25,1
FRYING PAN RED RETROSPOT,383,1324.25,97
FRYING PAN UNION FLAG,1200,4731.36,113
FULL ENGLISH BREAKFAST PLATE,1383,4993.05,158
FUNKY DIVA PEN,8328,7010.94,155
FUNKY FLOWER PICNIC BAG FOR 4,2,33.9,2
FUNKY MONKEY CUSHION COVER,193,164.04999999999998,18
FUNKY MONKEY GIFT BAG MEDIUM,329,138.18,20
FUNKY MONKEY MUG,1,1.25,1
FUNKY WASHING UP GLOVES ASSORTED,973,1984.2600000000002,171
FUSCHIA FLOWER PURSE WITH BEADS,159,145.17,14
FUSCHIA RETRO BAR STOOL,14,523.3000000000001,5
FUSCHIA TABLE RUN FLOWER ,27,38.75,5
FUSCHIA VOILE POINTY SHOE DEC,97,50.31,15
GAOLERS KEYS DECORATIVE GARDEN ,929,3412.19,205
GARAGE KEY FOB,733,491.15000000000003,115
GARDEN METAL SIGN ,105,173.24999999999997,20
GARDEN PATH JOURNAL,218,534.46,46
GARDEN PATH NOTEBOOK ,15,24.75,8
GARDEN PATH POCKET BOOK,69,58.65,21
GARDEN PATH SKETCHBOOK,113,422.08,47
GARDENERS KNEELING PAD CUP OF TEA ,6303,9963.39,635
GARDENERS KNEELING PAD KEEP CALM ,7740,12493.48,756
GARDENIA 1 WICK MORRIS BOXED CANDLE,211,676.03,52
GARDENIA 3 WICK MORRIS BOXED CANDLE,263,689.79,71
